File,Parameter,Mean_python,Std_python,Unit_python,Mean_matlab,Std_matlab,Unit_matlab,diff,rel_diff_pct
Bare_fast,WalkingSpeed,0.692978948627652,0.0,m/s,0.690635293321455,0.0,m/s,0.0023436553061969567,0.3393477467081542
Bare_fast,Affected strideLength,0.7800755698908889,0.11976003480423743,m,0.616443731911525,0.0641183843995086,,0.16363183797936387,26.544488893644
Bare_fast,Non-paretic strideLength,1.0198329802529533,0.04902459983997266,m,0.724190396354923,0.0457013139699472,,0.29564258389803033,40.823875232986815
Bare_fast,Affected strideTime,1.158,0.13989281611290844,s,1.0175,0.0265921578128376,s,0.14049999999999985,13.808353806996706
Bare_fast,Non-paretic strideTime,1.012,0.046583258795408505,s,1.0225,0.0291547594742265,s,0.010499999999999954,1.0268948654252381
Bare_fast,Affected stanceTime,0.5499999999999999,0.20581545131500695,s,0.45625,0.0238671920665766,s,0.09374999999999994,20.547945200975782
Bare_fast,Non-paretic stanceTime,0.6900000000000001,0.029154759474226473,s,0.73875,0.0290012315009454,s,0.04874999999999996,6.598984770680334
Bare_fast,Affected swingTime,0.53,0.1540562667772179,s,0.56125,0.0264237447329913,s,0.03125,5.56792872952019
Bare_fast,Non-paretic swingTime,0.32333333333333336,0.02875181153713044,s,0.28375,0.0118773493916542,s,0.03958333333333336,13.950073416522743
Bare_fast,Affected stanceDuration,53.563529554888376,12.750604101390794,s,44.8428443145696,2.09958011213068,s,8.72068524031878,19.447216994364364
Bare_fast,Non-paretic stanceDuration,68.21733246596072,2.1512275694860663,s,71.9086847533237,0.888463875229936,s,3.6913522873629745,5.1333886859712345
Bare_fast,Affected Ankle maxData_st,19.12840981689905,0.44184018149731674,deg,19.1137439336991,0.411474505838406,deg,0.014665883199949548,0.07672951594802765
Bare_fast,Affected Ankle maxData_sw,2.6897011724976334,1.9333991512429811,deg,3.81276754139827,3.11719579568476,deg,1.1230663689006364,29.455411500364242
Bare_fast,Affected Ankle minData_st,-1.421671786311683,3.8116484109542057,deg,-2.04048825526131,2.60943251664244,deg,0.6188164689496272,30.326882172622604
Bare_fast,Affected Ankle minData_sw,-7.605776549554603,3.8708298128311234,deg,-7.66157615668141,3.3181755031074,deg,0.05579960712680698,0.7283045418457097
Bare_fast,Affected Knee maxData_st,43.93889820553225,3.3246627663365955,deg,40.6538991047406,3.96009875797649,deg,3.2849991007916444,8.08040353600549
Bare_fast,Affected Knee maxData_sw,52.63866529254849,7.047081187438644,deg,52.7031833646771,5.52678645406506,deg,0.06451807212861382,0.12241778960876377
Bare_fast,Affected Knee minData_st,17.83676214907258,2.343337343107745,deg,18.1133415446437,2.30625281919875,deg,0.2765793955711189,1.526937450430726
Bare_fast,Affected Knee minData_sw,35.47414113355776,2.0659204969584506,deg,34.8381486468274,3.11320326003175,deg,0.635992486730359,1.82556338792834
Bare_fast,Affected Hip maxData_st,54.22634181783968,5.837076096040951,deg,48.869919128311,2.69190366367434,deg,5.356422689528685,10.960572035026505
Bare_fast,Affected Hip maxData_sw,58.33703576384538,1.0204183883074505,deg,58.9228165460928,3.32700008885502,deg,0.5857807822474186,0.9941493237822282
Bare_fast,Affected Hip minData_st,5.993534657068087,2.6014793317614515,deg,6.49633924979951,2.79742374723954,deg,0.5028045927314224,7.739814276774418
Bare_fast,Affected Hip minData_sw,13.610533298065414,2.7472225182384538,deg,13.4608220241888,3.68013089542,deg,0.14971127387661376,1.1122000841142814
Bare_fast,Non-paretic Ankle maxData_st,21.667882440620144,2.0830233343661337,deg,21.393903478542,3.20429128166319,deg,0.273978962078143,1.2806403579022507
Bare_fast,Non-paretic Ankle maxData_sw,4.143547854411268,0.9888703909851305,deg,4.1602768296789,1.32185284348231,deg,0.016728975267632507,0.4021120697518961
Bare_fast,Non-paretic Ankle minData_st,-8.800971023954762,2.9346788695982107,deg,-16.7048323375516,4.48582068314274,deg,7.903861313596838,47.31481977093569
Bare_fast,Non-paretic Ankle minData_sw,-19.279850132267356,2.0098574239375866,deg,-20.4604347063508,3.95365971252919,deg,1.1805845740834435,5.770085489489756
Bare_fast,Non-paretic Knee maxData_st,35.793815286543605,2.8148242163631227,deg,44.7279979620111,1.36020576361712,deg,8.934182675467497,19.974474786543333
Bare_fast,Non-paretic Knee maxData_sw,70.73505166282155,1.58892048632594,deg,70.8997725614678,1.70167268505288,deg,0.1647208986462516,0.2323292342062333
Bare_fast,Non-paretic Knee minData_st,14.52765140920117,2.810990347756992,deg,15.0888379093212,3.02791914878938,deg,0.56118650012003,3.7192161748230803
Bare_fast,Non-paretic Knee minData_sw,25.978412859528625,2.129978904797809,deg,24.9121560187784,1.80742103652267,deg,1.0662568407502242,4.280066486185364
Bare_fast,Non-paretic Hip maxData_st,42.04232000521892,2.4525850999457472,deg,41.6940400852362,1.99345652369994,deg,0.34827991998271557,0.8353230324283342
Bare_fast,Non-paretic Hip maxData_sw,42.89312073016247,1.1556404864140022,deg,42.9960510008615,1.41943589460741,deg,0.1029302706990265,0.23939470789241718
Bare_fast,Non-paretic Hip minData_st,1.222826502460246,1.6483344881512332,deg,1.24943115264993,1.6387261843254,deg,0.026604650189683943,2.1293410310066747
Bare_fast,Non-paretic Hip minData_sw,5.106573484393696,2.2301402250543076,deg,7.8857285649975,1.82152212061317,deg,2.779155080603804,35.24284481340681
Shoe_fast,WalkingSpeed,0.5428544403808537,0.0,m/s,0.542462879673053,0.0,m/s,0.00039156070780077545,0.07218202800615417
